soil_type,temperature,humidity,rainfall,crop
clay,25.23,79.13,1011.61,Rice
clay,31.09,88.38,943.47,Rice
alluvial,25.29,76.41,1016.33,Rice
clay,30.05,85.74,1250.66,Rice
alluvial,26.98,83.84,1304.72,Rice
clay,31.83,77.39,1111.31,Rice
alluvial,26.4,89.36,1068.3,Rice
clay,28.42,80.38,1071.98,Rice
alluvial,32.26,85.95,1168.11,Rice
alluvial,25.71,79.4,1214.32,Rice
alluvial,30.2,85.57,922.91,Rice
clay,31.96,89.78,1327.66,Rice
clay,28.42,81.8,1317.06,Rice
clay,28.33,78.14,1033.49,Rice
clay,30.48,77.57,1264.56,Rice
clay,29.16,79.05,1362.7,Rice
clay,31.16,87.64,1288.0,Rice
clay,32.4,87.08,1100.58,Rice
clay,26.9,89.14,1338.18,Rice
alluvial,26.91,82.49,1342.34,Rice
alluvial,26.29,77.09,1272.49,Rice
alluvial,31.72,81.43,1191.77,Rice
alluvial,26.97,89.96,1154.76,Rice
clay,31.8,87.92,976.42,Rice
clay,32.13,81.33,931.76,Rice
alluvial,30.36,82.02,1025.71,Rice
clay,31.12,76.72,1342.39,Rice
alluvial,31.92,80.1,1046.75,Rice
clay,29.08,89.31,1337.93,Rice
alluvial,33.75,86.43,1153.84,Rice
clay,32.83,79.48,1219.47,Rice
clay,26.38,86.44,1169.69,Rice
clay,30.39,82.33,955.93,Rice
alluvial,32.91,87.47,1053.76,Rice
clay,27.17,83.51,939.38,Rice
alluvial,32.34,89.67,1166.35,Rice
clay,26.16,82.13,1174.9,Rice
alluvial,29.75,84.1,1382.18,Rice
clay,31.42,80.98,1235.84,Rice
alluvial,28.94,82.76,960.5,Rice
clay,25.58,75.32,1176.96,Rice
clay,25.06,85.62,929.44,Rice
clay,33.15,87.89,935.43,Rice
clay,27.51,82.28,1169.62,Rice
alluvial,27.19,82.09,1103.53,Rice
clay,25.87,81.47,1111.79,Rice
alluvial,32.77,75.81,1226.73,Rice
clay,25.55,85.92,1300.3,Rice
clay,27.24,77.85,1124.31,Rice
alluvial,26.65,81.94,1337.24,Rice
clay,28.99,87.92,1175.16,Rice
clay,30.87,83.11,907.38,Rice
clay,33.34,87.73,983.16,Rice
alluvial,29.33,87.97,1351.22,Rice
clay,28.41,89.78,1032.6,Rice
alluvial,27.57,85.45,1265.25,Rice
alluvial,26.39,79.45,1384.35,Rice
clay,31.73,75.86,1192.09,Rice
clay,25.51,82.62,1325.67,Rice
clay,30.36,85.13,1017.6,Rice
loamy,23.3,51.39,552.62,Wheat
loamy,19.43,48.38,554.29,Wheat
alluvial,23.22,44.09,600.67,Wheat
loamy,15.19,42.62,575.93,Wheat
alluvial,15.79,55.04,375.39,Wheat
alluvial,19.45,51.26,384.99,Wheat
loamy,18.07,42.65,472.15,Wheat
loamy,22.55,47.39,405.21,Wheat
alluvial,19.34,59.74,578.89,Wheat
loamy,20.01,51.09,676.11,Wheat
loamy,23.27,42.69,390.4,Wheat
loamy,20.91,43.11,448.61,Wheat
loamy,20.61,44.07,571.98,Wheat
