soil_type,temperature,humidity,rainfall,crop
clay,24.2,75.5,142.32,Rice
clay,29.41,87.84,128.69,Rice
alluvial,24.25,71.87,143.27,Rice
clay,28.49,84.32,190.13,Rice
alluvial,25.76,81.79,200.94,Rice
clay,30.07,73.19,162.26,Rice
alluvial,25.24,89.14,153.66,Rice
clay,27.04,77.18,154.4,Rice
alluvial,30.46,84.59,173.62,Rice
alluvial,24.63,75.86,182.86,Rice
alluvial,28.62,84.09,124.58,Rice
clay,30.18,89.7,205.53,Rice
clay,27.04,79.07,203.41,Rice
clay,26.96,74.19,146.7,Rice
clay,28.87,73.42,192.91,Rice
clay,27.7,75.4,212.54,Rice
clay,29.48,86.86,197.6,Rice
clay,30.57,86.1,160.12,Rice
clay,25.69,88.86,207.64,Rice
alluvial,25.7,79.98,208.47,Rice
alluvial,25.14,72.79,194.5,Rice
alluvial,29.98,78.57,178.35,Rice
alluvial,25.75,89.95,170.95,Rice
clay,30.05,87.22,135.28,Rice
clay,30.34,78.44,126.35,Rice
alluvial,28.77,79.36,145.14,Rice
clay,29.44,72.29,208.48,Rice
alluvial,30.15,76.8,149.35,Rice
clay,27.63,89.08,207.59,Rice
alluvial,31.78,85.24,170.77,Rice
clay,30.96,75.97,183.89,Rice
clay,25.22,85.25,173.94,Rice
clay,28.79,79.77,131.19,Rice
alluvial,31.03,86.63,150.75,Rice
clay,25.93,81.35,127.88,Rice
alluvial,30.53,89.56,173.27,Rice
clay,25.03,79.51,174.98,Rice
alluvial,28.22,82.13,216.44,Rice
clay,29.7,77.98,187.17,Rice
alluvial,27.5,80.35,132.1,Rice
clay,24.51,70.42,175.39,Rice
clay,24.06,84.16,125.89,Rice
clay,31.24,87.19,127.09,Rice
clay,26.23,79.71,173.92,Rice
alluvial,25.94,79.46,160.71,Rice
clay,24.78,78.62,162.36,Rice
alluvial,30.91,71.08,185.35,Rice
clay,24.48,84.56,200.06,Rice
clay,25.99,73.8,164.86,Rice
alluvial,25.47,79.25,207.45,Rice
clay,27.55,87.23,175.03,Rice
clay,29.22,80.81,121.48,Rice
clay,31.41,86.97,136.63,Rice
alluvial,27.85,87.29,210.24,Rice
clay,27.03,89.71,146.52,Rice
alluvial,26.28,83.93,193.05,Rice
alluvial,25.24,75.93,216.87,Rice
clay,29.98,71.14,178.42,Rice
clay,24.46,80.16,205.13,Rice
clay,28.76,83.5,143.52,Rice
clay,31.53,81.39,177.89,Rice
clay,28.96,78.38,178.37,Rice
alluvial,31.48,74.09,191.62,Rice
clay,26.12,72.62,184.55,Rice
alluvial,26.53,85.04,127.25,Rice
alluvial,28.97,81.26,130.0,Rice
clay,28.05,72.65,154.9,Rice
clay,31.03,77.39,135.77,Rice
alluvial,28.89,89.74,185.4,Rice
clay,29.34,81.09,213.18,Rice
clay,31.51,72.69,131.54,Rice
clay,29.94,73.11,148.18,Rice
clay,29.74,74.07,183.42,Rice
alluvial,28.04,75.02,210.82,Rice
clay,24.74,78.47,147.67,Rice
clay,26.67,72.62,217.98,Rice
clay,29.93,81.03,162.77,Rice
clay,24.89,88.9,189.1,Rice
clay,28.36,86.69,178.25,Rice
clay,27.44,70.84,156.47,Rice
clay,31.19,74.2,144.95,Rice
clay,26.83,81.2,207.47,Rice
clay,31.41,74.73,136.25,Rice
clay,31.05,70.5,193.66,Rice
alluvial,30.26,78.23,186.99,Rice
clay,26.13,85.75,130.81,Rice
clay,30.87,74.45,201.66,Rice
alluvial,26.8,86.41,207.13,Rice
clay,24.19,73.86,152.83,Rice
clay,31.74,75.58,184.15,Rice
alluvial,29.44,86.87,153.11,Rice
clay,24.92,89.41,137.86,Rice
alluvial,24.31,81.93,154.57,Rice
alluvial,27.49,89.68,131.56,Rice
clay,26.04,84.18,120.17,Rice
clay,26.91,71.4,186.42,Rice
alluvial,28.99,83.27,132.46,Rice
alluvial,28.06,83.34,152.62,Rice
alluvial,28.44,73.84,186.49,Rice
alluvial,29.42,88.06,181.55,Rice
alluvial,27.25,86.67,150.39,Rice
clay,27.44,81.6,185.47,Rice
alluvial,27.53,83.51,171.12,Rice
clay,29.27,75.68,186.39,Rice
alluvial,24.75,89.04,143.49,Rice
alluvial,25.8,73.98,122.44,Rice
clay,31.87,82.23,196.85,Rice
alluvial,27.32,82.6,139.44,Rice
alluvial,27.96,74.88,185.61,Rice
clay,31.14,87.21,208.55,Rice
alluvial,25.75,86.08,189.59,Rice
alluvial,24.4,74.98,204.83,Rice
alluvial,25.07,79.29,173.11,Rice
alluvial,31.6,87.83,181.27,Rice
alluvial,30.64,80.96,209.72,Rice
alluvial,27.6,85.04,203.99,Rice
alluvial,30.13,80.43,182.67,Rice
alluvial,27.52,84.27,143.45,Rice
alluvial,26.56,80.8,133.84,Rice
clay,27.06,73.06,141.4,Rice
alluvial,27.26,80.85,161.58,Rice
clay,30.66,77.79,196.98,Rice
clay,30.85,85.31,158.04,Rice
clay,31.54,75.97,159.0,Rice
alluvial,28.31,84.69,199.99,Rice
clay,27.91,75.46,168.56,Rice
alluvial,26.69,83.58,160.43,Rice
clay,30.72,88.39,218.07,Rice
clay,31.26,81.84,186.3,Rice
clay,29.14,72.71,166.17,Rice
clay,26.08,76.55,165.47,Rice
alluvial,30.09,77.58,195.2,Rice
alluvial,26.02,71.64,121.94,Rice
clay,32.0,77.0,185.01,Rice
clay,30.03,88.99,139.94,Rice
clay,28.97,74.77,167.36,Rice
clay,28.51,74.36,189.95,Rice
alluvial,25.34,82.14,194.79,Rice
clay,30.22,73.28,151.1,Rice
clay,31.43,81.52,210.8,Rice
alluvial,27.17,84.3,127.6,Rice
clay,24.82,85.45,205.03,Rice
clay,30.37,81.32,124.11,Rice
alluvial,29.29,71.38,184.75,Rice
clay,30.8,86.45,130.55,Rice
alluvial,29.08,86.57,190.73,Rice
alluvial,25.41,80.43,185.05,Rice
alluvial,27.72,86.51,179.25,Rice
alluvial,30.81,86.61,128.67,Rice
alluvial,25.95,79.29,181.03,Rice
alluvial,18.36,49.89,53.0,Wheat
alluvial,17.12,55.96,53.61,Wheat
alluvial,20.56,50.33,47.64,Wheat
loamy,22.2,49.77,70.33,Wheat
alluvial,21.46,49.82,71.72,Wheat
loamy,17.94,48.09,49.73,Wheat
alluvial,19.73,50.62,57.02,Wheat
alluvial,18.52,49.07,52.26,Wheat
loamy,16.21,43.85,44.78,Wheat
loamy,16.92,54.77,51.06,Wheat
alluvial,24.81,56.65,51.85,Wheat
alluvial,16.79,40.28,61.37,Wheat
alluvial,15.46,41.09,51.69,Wheat
loamy,21.38,55.06,44.1,Wheat
loamy,20.74,49.39,57.62,Wheat
loamy,24.65,45.05,74.47,Wheat
loamy,23.22,48.01,42.96,Wheat
loamy,16.52,56.22,77.97,Wheat
loamy,24.94,42.37,70.58,Wheat
loamy,22.76,47.61,76.34,Wheat
alluvial,23.6,59.8,52.22,Wheat
loamy,21.1,54.8,77.9,Wheat
loamy,21.26,45.29,43.25,Wheat
loamy,16.74,41.5,40.11,Wheat
alluvial,21.89,49.4,41.31,Wheat
