date,crop,demand_tons,price_per_quintal
2021-01,Rice,867,3590
2021-02,Rice,1207,3474
2021-03,Rice,867,3750
2021-04,Rice,922,3298
2021-05,Rice,1178,3330
2021-06,Rice,846,3890
2021-07,Rice,784,3013
2021-08,Rice,899,3480
2021-09,Rice,1066,3700
2021-10,Rice,637,2930
2021-11,Rice,922,3471
2021-12,Rice,903,3604
2022-01,Rice,951,3675
2022-02,Rice,1278,3163
2022-03,Rice,1253,3116
2022-04,Rice,976,3220
2022-05,Rice,1030,3246
2022-06,Rice,922,3101
2022-07,Rice,1191,3542
2022-08,Rice,1036,3405
2022-09,Rice,1139,3713
2022-10,Rice,638,3912
2022-11,Rice,911,3906
2022-12,Rice,685,3472
2023-01,Rice,1156,3943
2023-02,Rice,1044,3212
2023-03,Rice,993,3778
2023-04,Rice,859,3987
2023-05,Rice,1038,3125
2023-06,Rice,1226,3341
2023-07,Rice,1201,3320
2023-08,Rice,980,3915
2023-09,Rice,1042,3309
2023-10,Rice,1115,3917
2023-11,Rice,1208,3006
2023-12,Rice,922,3033
2024-01,Rice,964,3760
2024-02,Rice,1023,3948
2024-03,Rice,867,3869
2024-04,Rice,821,3198
2024-05,Rice,1168,3207
2024-06,Rice,1186,3875
2024-07,Rice,836,3318
2024-08,Rice,699,3411
2024-09,Rice,1111,2980
2024-10,Rice,1004,3634
2024-11,Rice,976,3348
2024-12,Rice,1077,3562
2025-01,Rice,1218,3280
2025-02,Rice,944,3964
2025-03,Rice,1029,3608
2025-04,Rice,1223,3722
2025-05,Rice,1192,3828
2025-06,Rice,982,3071
2025-07,Rice,1000,3779
2025-08,Rice,1125,3210
2025-09,Rice,606,3249
2025-10,Rice,884,3315
2025-11,Rice,789,3956
2025-12,Rice,1244,3807
2021-01,Wheat,1930,1676
2021-02,Wheat,1760,1782
2021-03,Wheat,1874,1116
2021-04,Wheat,1875,1231
2021-05,Wheat,1999,1100
2021-06,Wheat,1955,1497
2021-07,Wheat,1713,1488
2021-08,Wheat,1646,1270
2021-09,Wheat,1887,1055
2021-10,Wheat,1662,1736
2021-11,Wheat,1630,1070
2021-12,Wheat,1768,1998
2022-01,Wheat,1450,1674
2022-02,Wheat,1495,1809
2022-03,Wheat,2096,1557
2022-04,Wheat,2072,1881
2022-05,Wheat,1674,1142
2022-06,Wheat,1731,1980
2022-07,Wheat,1734,1257
2022-08,Wheat,1497,1604
2022-09,Wheat,1343,1881
2022-10,Wheat,1560,1169
2022-11,Wheat,1570,1109
2022-12,Wheat,1991,1771
2023-01,Wheat,1618,1461
2023-02,Wheat,1748,1259
2023-03,Wheat,1787,1400
2023-04,Wheat,1647,2068
2023-05,Wheat,1587,1254
2023-06,Wheat,1493,1380
2023-07,Wheat,1865,1510
2023-08,Wheat,1908,1835
2023-09,Wheat,1841,1871
2023-10,Wheat,1688,1412
2023-11,Wheat,1443,1601
2023-12,Wheat,1789,1116
2024-01,Wheat,1551,1927
2024-02,Wheat,1646,1261
2024-03,Wheat,1815,1993
2024-04,Wheat,1882,1343
2024-05,Wheat,1708,1904
2024-06,Wheat,1688,1815
2024-07,Wheat,1770,1036
2024-08,Wheat,1689,959
2024-09,Wheat,1405,1518
2024-10,Wheat,1374,1468
2024-11,Wheat,1480,1060
2024-12,Wheat,1914,1755
2025-01,Wheat,1890,1349
2025-02,Wheat,1634,1752
2025-03,Wheat,1812,1826
2025-04,Wheat,1775,1759
2025-05,Wheat,1476,1865
2025-06,Wheat,1421,1764
2025-07,Wheat,1601,1646
2025-08,Wheat,1879,1829
2025-09,Wheat,1656,1620
2025-10,Wheat,1464,1144
2025-11,Wheat,1357,1598
2025-12,Wheat,1764,1757
2021-01,Maize,1946,829
2021-02,Maize,1934,1135
2021-03,Maize,1760,879
2021-04,Maize,1955,1512
2021-05,Maize,1568,926
2021-06,Maize,1766,782
2021-07,Maize,1995,903
2021-08,Maize,1540,619
2021-09,Maize,1866,651
2021-10,Maize,1876,1367
2021-11,Maize,1846,1111
2021-12,Maize,1563,1481
2022-01,Maize,2048,984
2022-02,Maize,1951,1710
2022-03,Maize,1906,1604
2022-04,Maize,1687,1537
2022-05,Maize,1756,1311
2022-06,Maize,1947,929
2022-07,Maize,1797,1186
2022-08,Maize,1581,1320
2022-09,Maize,1854,733
2022-10,Maize,1778,1397
2022-11,Maize,1452,1357
2022-12,Maize,1920,834
2023-01,Maize,1976,1406
2023-02,Maize,1877,1443
2023-03,Maize,1930,1174
2023-04,Maize,1970,1142
2023-05,Maize,1773,1155
2023-06,Maize,1710,1643
2023-07,Maize,1704,938
2023-08,Maize,1833,610
2023-09,Maize,1690,1342
2023-10,Maize,1799,852
2023-11,Maize,1483,1080
2023-12,Maize,1605,768
2024-01,Maize,1537,1561
2024-02,Maize,1844,1573
2024-03,Maize,1916,1199
2024-04,Maize,1717,1252
2024-05,Maize,1877,1161
2024-06,Maize,2022,1295
2024-07,Maize,1723,1498
2024-08,Maize,1413,1464
2024-09,Maize,1399,1398
2024-10,Maize,1845,936
2024-11,Maize,1414,644
2024-12,Maize,1767,1268
2025-01,Maize,1518,1197
2025-02,Maize,2024,1360
2025-03,Maize,1672,1457
2025-04,Maize,2046,1454
2025-05,Maize,2002,958
2025-06,Maize,1846,988
2025-07,Maize,1739,1063
2025-08,Maize,1373,846
2025-09,Maize,1617,1328
2025-10,Maize,1407,1417
2025-11,Maize,1421,1380
2025-12,Maize,1715,1474
2021-01,Cotton,675,1791
2021-02,Cotton,771,1933
2021-03,Cotton,706,1791
2021-04,Cotton,1058,1976
2021-05,Cotton,887,1457
2021-06,Cotton,1028,1305
2021-07,Cotton,934,1866
2021-08,Cotton,511,1556
2021-09,Cotton,975,1395
2021-10,Cotton,900,1922
2021-11,Cotton,552,1809
2021-12,Cotton,711,1721
2022-01,Cotton,1007,2124
2022-02,Cotton,720,1624
2022-03,Cotton,977,2026
2022-04,Cotton,775,1742
2022-05,Cotton,760,1599
2022-06,Cotton,782,1334
2022-07,Cotton,968,1931
2022-08,Cotton,901,1262
2022-09,Cotton,893,1420
2022-10,Cotton,473,1134
2022-11,Cotton,903,1582
2022-12,Cotton,650,1229
2023-01,Cotton,704,2221
2023-02,Cotton,1031,1329
2023-03,Cotton,795,2214
2023-04,Cotton,1199,1810
2023-05,Cotton,1199,1905
2023-06,Cotton,1055,1620
2023-07,Cotton,919,1892
2023-08,Cotton,641,1298
2023-09,Cotton,699,2082
2023-10,Cotton,541,1637
